difficulty,label,FATESAM2D,FATESAM2D+pts,FATESAM2D-blank,GFSAM,SAM+pts-no-filter
easy,HT10a,0.3075114051604165,0.1427808165337438,0.0327808153240437,0.1430613640925233,0.3800530906332954
easy,HT131a,0.3700114961405814,0.1956962045114193,0.0540492731249195,0.1878350137196094,0.343291030352825
easy,HT17,0.3714714879742082,0.127030778771348,0.0540615623958217,0.2168839599675412,0.3887952041448341
easy,HT21,0.3417067188720126,0.1275711148734797,0.0286487762359943,0.1280180775544138,0.2779539571798344
easy,HT22,0.251440289034274,0.1710479384475706,0.0620640983062105,0.1670029233746448,0.3197774355407621
easy,HT7a,0.3720163855642264,0.1287814014087374,0.0645843344545891,0.1293030823256258,0.2588502195592114
easy,MA9,0.2240226417441607,0.0898391959717909,0.0754056853492922,0.094148322338485,0.213181513896809
easy,PH2,0.3182675989410087,0.1564594917133856,0.0220732752104016,0.1545474608793367,0.3829059065320346
easy,PH31a,0.2460145278450363,0.1500991690470184,0.072588496904862,0.1510284182552623,0.3375229043754908
hard,HT1,0.2868324742086298,0.10732021493817158,0.08020128661222835,0.10101409125111156,0.22922599768576002
hard,HT115b,0.09002447267218273,0.08870024372275723,0.0009639003762320823,0.08958381306506107,0.124498767662149
hard,HT122b,0.1349912778995393,0.13706506286792333,0.09130669360485806,0.14314236631170643,0.17733769659213655
hard,HT140,0.16711391523444702,0.14767230332846454,0.08526907874733962,0.14275386343961247,0.2126347482459206
hard,HT3,0.139134332180817,0.15486555983293449,0.06344587601805883,0.15480135132349,0.15781174661506184
hard,HT30,0.16291421441427514,0.1929925269955722,0.05581186633198244,0.19245459193881861,0.3124806260001173
hard,HT8a,0.38258460535607586,0.1397892924446591,0.031655634037202764,0.13854927609766948,0.23113799589295797
hard,HT9b,0.12148796876516713,0.16989538114947902,0.0,0.16846869901794567,0.19707290972068806
hard,KN1a,0.27276041494050973,0.1894527597785348,0.11035612582599422,0.1921985576371695,0.33415620707620897
medium,HT13,0.2970928777222061,0.1790758651303291,0.0143469828934472,0.1760478357739988,0.2334110820096512
medium,HT132,0.3638016500574604,0.1480670081019509,0.1886125322931969,0.1450454816614256,0.1526697025716187
medium,HT135a,0.277114651849737,0.1184039129475594,0.0427661206925309,0.1182685858514543,0.2230359943076239
medium,HT154B,0.3067580153353491,0.0489796809183963,0.0278455884325455,0.0375387275740327,0.2696035242290749
medium,HT20,0.2446733668341708,0.1443164176825388,0.0344970906068162,0.1561467080522651,0.2086855452240067
medium,HT4,0.2632264990032203,0.1670791659603322,0.0253669574537767,0.1687299121903209,0.3480416460089241
medium,HT85b,0.2318758692628651,0.1537226275308622,0.0348083576317021,0.2398799491410154,0.2865784202050355
medium,HT90,0.1940193661244335,0.0874335904835555,0.0014410195213113,0.0879158112929264,0.3107913443772899
medium,PH31b,0.1654838830944792,0.1530591283850507,0.0499139875036767,0.1542535165261417,0.1796775871034841
