difficulty,model,Dice_median,Dice_mean,Dice_std,Dice_std_error,Dice_n
all,FATESAM2D,0.2632264990032203,0.25571675578635145,0.0858669691130682,0.0165251059106424,27
all,FATESAM2D+pts,0.1476723033284645,0.1413776612399098,0.03492454381884181,0.006721231591711066,27
all,FATESAM2DBlank,0.0499139875036767,0.0520320524403346,0.039414944066736575,0.007585409522341468,27
all,GFSAM,0.1510284182552623,0.14735636150568918,0.04253091623223134,0.008185078645186729,27
all,SAM+pts-no-filter,0.2588502195592114,0.26263640013862244,0.07611625611239226,0.014648580318732054,27
easy,FATESAM2D,0.3182675989410087,0.3113847279195472,0.05831407118422857,0.019438023728076192,9
easy,FATESAM2D+pts,0.1427808165337438,0.1432562345864993,0.030240486580602893,0.010080162193534298,9
easy,FATESAM2DBlank,0.0540615623958217,0.0518062574784594,0.01952479565111265,0.00650826521703755,9
easy,GFSAM,0.1510284182552623,0.15242540250082692,0.035780524552139946,0.011926841517379981,9
easy,SAM+pts-no-filter,0.3375229043754908,0.322481251357233,0.06124522997307026,0.020415076657690087,9
hard,FATESAM2D,0.1629142144142751,0.19531596396351594,0.09657898459408763,0.03219299486469588,9
hard,FATESAM2D+pts,0.1476723033284645,0.147528149450944,0.03468717446821351,0.011562391489404503,9
hard,FATESAM2DBlank,0.0634458760180588,0.057667829061544,0.03942016341353482,0.013140054471178273,9
hard,GFSAM,0.1431423663117064,0.14699629000917605,0.035613276334762634,0.011871092111587545,9
hard,SAM+pts-no-filter,0.2126347482459206,0.21959518838788888,0.06817242817343398,0.022724142724477994,9
medium,FATESAM2D,0.2632264990032203,0.2604495754759913,0.060157181082855456,0.020052393694285152,9
medium,FATESAM2D+pts,0.1480670081019509,0.13334859968228613,0.04156156671450155,0.013853855571500517,9
medium,FATESAM2DBlank,0.0344970906068162,0.04662207078100039,0.055182560665546235,0.01839418688851541,9
medium,GFSAM,0.1542535165261417,0.14264739200706456,0.05723902254986622,0.01907967418328874,9
medium,SAM+pts-no-filter,0.2334110820096512,0.24583276067074544,0.06324683832728299,0.021082279442427663,9
