difficulty,label,model,Dice
hard,HT122b,mSAM-no-filter-single,0.0034016727590805763
hard,HT140,mSAM+pts-bilateral-filter-best-of-three,0.0066280275523107075
hard,HT140,mSAM+pts-bilateral-filter-single,0.010122089488472978
hard,HT140,mSAM+pts-no-filter-best-of-three,0.005397158588758682
hard,HT140,mSAM+pts-no-filter-single,0.00950888756821006
hard,HT140,mSAM-bilateral-filter-best-of-three,0.003584697765726488
hard,HT140,mSAM-bilateral-filter-single,0.0038494290492361674
hard,HT140,mSAM-no-filter-best-of-three,0.0014789536402994882
hard,HT140,mSAM-no-filter-single,0.004265308087053753
hard,HT3,mSAM+pts-bilateral-filter-best-of-three,0.05569204287614428
hard,HT3,mSAM+pts-bilateral-filter-single,0.08118500021282331
hard,HT3,mSAM+pts-no-filter-best-of-three,0.058732130362015154
hard,HT3,mSAM+pts-no-filter-single,0.07243997141035795
hard,HT3,mSAM-bilateral-filter-best-of-three,0.0581921022243195
hard,HT3,mSAM-bilateral-filter-single,0.05409573750265081
hard,HT3,mSAM-no-filter-best-of-three,0.05593668352457639
hard,HT3,mSAM-no-filter-single,0.04622995508354592
hard,HT30,mSAM+pts-bilateral-filter-best-of-three,0.05409904286308781
hard,HT30,mSAM+pts-bilateral-filter-single,0.10536125216332896
hard,HT30,mSAM+pts-no-filter-best-of-three,0.03231947098415602
hard,HT30,mSAM+pts-no-filter-single,0.10151753008895865
hard,HT30,mSAM-bilateral-filter-best-of-three,0.0249800773754669
hard,HT30,mSAM-bilateral-filter-single,0.012858141160027953
hard,HT30,mSAM-no-filter-best-of-three,0.02270386514669628
hard,HT30,mSAM-no-filter-single,0.00551983323057048
hard,HT8a,mSAM+pts-bilateral-filter-best-of-three,0.05483915287836857
hard,HT8a,mSAM+pts-bilateral-filter-single,0.1497085268254125
hard,HT8a,mSAM+pts-no-filter-best-of-three,0.04101151562562335
hard,HT8a,mSAM+pts-no-filter-single,0.1339235586266465
hard,HT8a,mSAM-bilateral-filter-best-of-three,0.0404918311346028
hard,HT8a,mSAM-bilateral-filter-single,0.04017024948855131
hard,HT8a,mSAM-no-filter-best-of-three,0.04082788870105542
hard,HT8a,mSAM-no-filter-single,0.04116280740403726
hard,HT9b,mSAM+pts-bilateral-filter-best-of-three,0.05940657992445033
hard,HT9b,mSAM+pts-bilateral-filter-single,0.06816230438997369
hard,HT9b,mSAM+pts-no-filter-best-of-three,0.06343381389252949
hard,HT9b,mSAM+pts-no-filter-single,0.06986014756084132
hard,HT9b,mSAM-bilateral-filter-best-of-three,0.03768155255072857
hard,HT9b,mSAM-bilateral-filter-single,0.009726598786907343
hard,HT9b,mSAM-no-filter-best-of-three,0.0
hard,HT9b,mSAM-no-filter-single,0.0
hard,KN1a,mSAM+pts-bilateral-filter-best-of-three,0.14055305147489983
hard,KN1a,mSAM+pts-bilateral-filter-single,0.20419045901140342
hard,KN1a,mSAM+pts-no-filter-best-of-three,0.1086657872406313
hard,KN1a,mSAM+pts-no-filter-single,0.1620295494144028
hard,KN1a,mSAM-bilateral-filter-best-of-three,0.10138577736210197
hard,KN1a,mSAM-bilateral-filter-single,0.06450334091277886
hard,KN1a,mSAM-no-filter-best-of-three,0.09460793740731324
hard,KN1a,mSAM-no-filter-single,0.004628635040915571
medium,HT13,mSAM+pts-bilateral-filter-best-of-three,0.11297356227855
medium,HT13,mSAM+pts-bilateral-filter-single,0.2192506215092362
medium,HT13,mSAM+pts-no-filter-best-of-three,0.0615566072507998
medium,HT13,mSAM+pts-no-filter-single,0.181670339320708
medium,HT13,mSAM-bilateral-filter-best-of-three,0.053372860115487
medium,HT13,mSAM-bilateral-filter-single,0.0002861081488802
