number,value,datetime_start,datetime_complete,duration,params_C,params_d_gap_erosion,params_d_gaussian,params_n_bgd_points,params_n_fgd_points,state
42,0.048830506713300345,2026-04-10 04:46:15.620612,2026-04-10 04:47:27.868869,0 days 00:01:12.248257,9,15,15,1862,1883,COMPLETE
43,0.049244955871599785,2026-04-10 04:47:27.871369,2026-04-10 04:48:32.850512,0 days 00:01:04.979143,7,15,19,1606,1572,COMPLETE
44,0.048532423535553905,2026-04-10 04:48:32.853632,2026-04-10 04:49:19.178447,0 days 00:00:46.324815,6,9,19,106,1396,COMPLETE
45,0.04923437591450567,2026-04-10 04:49:19.179902,2026-04-10 04:50:26.548940,0 days 00:01:07.369038,8,3,19,1645,1561,COMPLETE
46,0.048288097081050786,2026-04-10 04:50:26.551004,2026-04-10 04:51:18.633622,0 days 00:00:52.082618,2,15,27,1288,722,COMPLETE
47,0.05004184654306042,2026-04-10 04:51:18.636164,2026-04-10 04:52:11.414317,0 days 00:00:52.778153,8,5,5,1910,1225,COMPLETE
48,0.0491784637504407,2026-04-10 04:52:11.417195,2026-04-10 04:53:15.914491,0 days 00:01:04.497296,9,5,19,1749,1258,COMPLETE
49,0.048913585686727296,2026-04-10 04:53:15.915889,2026-04-10 04:54:09.130424,0 days 00:00:53.214535,8,5,9,1576,831,COMPLETE
50,0.04875763516401808,2026-04-10 04:54:09.132974,2026-04-10 04:55:02.832340,0 days 00:00:53.699366,7,5,13,1005,1187,COMPLETE
51,0.050020889290083984,2026-04-10 04:55:02.834016,2026-04-10 04:55:54.330063,0 days 00:00:51.496047,9,19,5,1924,1091,COMPLETE
52,0.05002385650789578,2026-04-10 04:55:54.338748,2026-04-10 04:56:48.020247,0 days 00:00:53.681499,9,19,5,1914,1045,COMPLETE
53,0.05071993352645967,2026-04-10 04:56:48.021388,2026-04-10 04:57:39.027522,0 days 00:00:51.006134,10,19,5,1923,1088,COMPLETE
54,0.050720550850854675,2026-04-10 04:57:39.029152,2026-04-10 04:58:29.644003,0 days 00:00:50.614851,10,19,5,1929,1076,COMPLETE
55,0.05075956529669105,2026-04-10 04:58:29.645322,2026-04-10 04:59:19.980811,0 days 00:00:50.335489,10,19,5,1886,1038,COMPLETE
56,0.050761744909483986,2026-04-10 04:59:19.982476,2026-04-10 05:00:10.207433,0 days 00:00:50.224957,10,19,5,1820,878,COMPLETE
57,0.05085684961344805,2026-04-10 05:00:10.208507,2026-04-10 05:00:59.117779,0 days 00:00:48.909272,10,19,5,1708,877,COMPLETE
58,0.050858843350396025,2026-04-10 05:00:59.121513,2026-04-10 05:01:49.419788,0 days 00:00:50.298275,10,19,5,1709,884,COMPLETE
59,0.050987858948020215,2026-04-10 05:01:49.421092,2026-04-10 05:02:35.827527,0 days 00:00:46.406435,10,19,5,1463,872,COMPLETE
60,0.05098747220907547,2026-04-10 05:02:35.828974,2026-04-10 05:03:22.081885,0 days 00:00:46.252911,10,19,5,1470,878,COMPLETE
61,0.05097725331933215,2026-04-10 05:03:22.091451,2026-04-10 05:04:07.775242,0 days 00:00:45.683791,10,19,5,1481,871,COMPLETE
62,0.05098424181810925,2026-04-10 05:04:07.776444,2026-04-10 05:04:53.671644,0 days 00:00:45.895200,10,19,5,1468,868,COMPLETE
63,0.04887561539097365,2026-04-10 05:04:53.673261,2026-04-10 05:05:49.704687,0 days 00:00:56.031426,10,19,27,1509,789,COMPLETE
64,0.05041364645931437,2026-04-10 05:05:49.707614,2026-04-10 05:06:32.216749,0 days 00:00:42.509135,9,19,5,1093,660,COMPLETE
65,0.05106634876278071,2026-04-10 05:06:32.219834,2026-04-10 05:07:16.131889,0 days 00:00:43.912055,10,19,5,1358,924,COMPLETE
66,0.04852540742827487,2026-04-10 05:07:16.141284,2026-04-10 05:08:06.062111,0 days 00:00:49.920827,10,19,29,1449,452,COMPLETE
67,0.050445502341555565,2026-04-10 05:08:06.063085,2026-04-10 05:08:48.622284,0 days 00:00:42.559199,9,19,3,1343,922,COMPLETE
68,0.048926612479083496,2026-04-10 05:08:48.623596,2026-04-10 05:09:39.824012,0 days 00:00:51.200416,10,19,21,1272,779,COMPLETE
69,0.05023252078588112,2026-04-10 05:09:39.825186,2026-04-10 05:10:26.889553,0 days 00:00:47.064367,9,19,5,1453,618,COMPLETE
70,0.04902533516917873,2026-04-10 05:10:26.892050,2026-04-10 05:11:26.927506,0 days 00:01:00.035456,10,13,25,1518,933,COMPLETE
71,0.05087018142897558,2026-04-10 05:11:26.928688,2026-04-10 05:12:14.950542,0 days 00:00:48.021854,10,19,5,1687,862,COMPLETE
72,0.05105256066892816,2026-04-10 05:12:14.951846,2026-04-10 05:13:02.255058,0 days 00:00:47.303212,10,19,5,1330,987,COMPLETE
73,0.04889146476599862,2026-04-10 05:13:02.256232,2026-04-10 05:13:57.678332,0 days 00:00:55.422100,9,19,17,1347,958,COMPLETE
74,0.051130722320122265,2026-04-10 05:13:57.679680,2026-04-10 05:14:38.143555,0 days 00:00:40.463875,10,19,5,1096,28,COMPLETE
75,0.048126376182014347,2026-04-10 05:14:38.144734,2026-04-10 05:15:18.207175,0 days 00:00:40.062441,9,11,27,939,69,COMPLETE
76,0.04860559627423388,2026-04-10 05:15:18.208961,2026-04-10 05:16:03.572522,0 days 00:00:45.363561,10,7,11,1265,170,COMPLETE
77,0.048255698266496456,2026-04-10 05:16:03.575442,2026-04-10 05:16:45.069137,0 days 00:00:41.493695,10,19,31,928,97,COMPLETE
78,0.04951616917603656,2026-04-10 05:16:45.070360,2026-04-10 05:17:29.972474,0 days 00:00:44.902114,8,21,7,1094,785,COMPLETE
79,0.05040177072778313,2026-04-10 05:17:29.974403,2026-04-10 05:18:12.577567,0 days 00:00:42.603164,9,9,5,1226,184,COMPLETE
80,0.051086867800155374,2026-04-10 05:18:12.578801,2026-04-10 05:18:58.422331,0 days 00:00:45.843530,10,19,5,1383,11,COMPLETE
81,0.05107902662059046,2026-04-10 05:18:58.424505,2026-04-10 05:19:42.052614,0 days 00:00:43.628109,10,19,5,1375,257,COMPLETE
82,0.05114320933532579,2026-04-10 05:19:42.054449,2026-04-10 05:20:26.679671,0 days 00:00:44.625222,10,17,5,1383,19,COMPLETE
83,0.05026518886263075,2026-04-10 05:20:26.687014,2026-04-10 05:21:10.543168,0 days 00:00:43.856154,9,17,5,1371,264,COMPLETE
